order_item_id,order_id,product_id,quantity,customer_id,order_date,total_amount,customer_name,email,city,product_name,category,price
1,1001,101,1,1,2026-01-10,58000.0,Arun Kumar,arun@gmail.com,Chennai,Laptop,Electronics,55000.0
2,1001,106,1,1,2026-01-10,58000.0,Arun Kumar,arun@gmail.com,Chennai,Mouse,Electronics,900.0
3,1002,102,1,2,2026-01-15,25000.0,Priya Sharma,priya@gmail.com,Coimbatore,Smartphone,Electronics,25000.0
4,1003,103,1,3,2026-02-05,3000.0,Rahul Singh,rahul@gmail.com,Bangalore,Headphones,Electronics,3000.0
5,1004,104,1,1,2026-02-20,8500.0,Arun Kumar,arun@gmail.com,Chennai,Office Chair,Furniture,8500.0
6,1005,102,1,4,2026-03-01,26800.0,Divya Raj,divya@gmail.com,Chennai,Smartphone,Electronics,25000.0
7,1005,105,1,4,2026-03-01,26800.0,Divya Raj,divya@gmail.com,Chennai,Keyboard,Electronics,1800.0
8,1006,107,1,5,2026-03-12,12900.0,Karthik Kumar,karthik@gmail.com,Madurai,Table,Furniture,12000.0
9,1006,106,1,5,2026-03-12,12900.0,Karthik Kumar,karthik@gmail.com,Madurai,Mouse,Electronics,900.0
10,1007,101,1,6,2026-03-20,55000.0,Sneha Patel,sneha@gmail.com,Bangalore,Laptop,Electronics,55000.0
11,1008,103,1,2,2026-04-02,4300.0,Priya Sharma,priya@gmail.com,Coimbatore,Headphones,Electronics,3000.0
12,1008,106,1,2,2026-04-02,4300.0,Priya Sharma,priya@gmail.com,Coimbatore,Mouse,Electronics,900.0
13,1009,107,1,7,2026-04-15,12000.0,Vijay Anand,vijay@gmail.com,Hyderabad,Table,Furniture,12000.0
14,1010,103,1,3,2026-05-10,3400.0,Rahul Singh,rahul@gmail.com,Bangalore,Headphones,Electronics,3000.0
15,1010,106,1,3,2026-05-10,3400.0,Rahul Singh,rahul@gmail.com,Bangalore,Mouse,Electronics,900.0
